----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   acc,            sensitivity,         specificity,          mcc           
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.8765432098765432,0.8415841542495834,0.9113300447717732,0.7548495571138049
0.908641975308642,0.8620689612705963,0.9554455398245271,0.8209451189024961
0.900990099009901,0.9108910845995492,0.8910891044995589,0.8021374798604517
0.900990099009901,0.8613861343495736,0.9405940547495344,0.8045078676513321
0.8861386138613861,0.9207920746495442,0.8514851442995786,0.7741387344090198
0.905940594059406,0.8960395995245565,0.9158415796245466,0.8120404117105808
0.8935643564356436,0.8811881144495638,0.9059405895745516,0.7873699547014748
0.8861386138613861,0.846534649274581,0.9257425696745417,0.774711279960542
0.9133663366336634,0.8811881144495638,0.945544549774532,0.8284500702238778
0.8935643564356436,0.8811881144495638,0.9059405895745516,0.7873699547014748
